enzyme	logFC	logCPM	PValue	FDR	association
4.1.1.4	3.77555626	5.234238903	4.58E-06	6.51E-05	soil
4.1.1.44	-0.781856387	7.939903382	0.075866981	0.132340881	Not associated
4.1.1.45	-0.250313433	7.758461741	0.582509514	0.684917627	Not associated
4.1.1.47	-0.580009677	8.68688212	0.092718782	0.156971272	Not associated
4.1.1.48	-0.261195653	9.274439124	0.314469003	0.417745942	Not associated
4.1.1.49	0.154991453	9.840507692	0.493234404	0.600324036	Not associated
4.1.1.5	1.028876462	4.023129383	0.230949043	0.325012664	Not associated
4.1.1.50	-0.938018891	7.328241688	0.057246773	0.105225021	Not associated
4.1.1.55	-1.27391976	5.031335257	0.180293952	0.267890595	Not associated
4.1.1.61	-2.718013528	1.466468221	0.088339849	0.150619718	Not associated
4.1.1.65	-1.218012065	8.782277632	0.001057773	0.00456566	root
4.1.1.68	-1.194859343	6.123505708	0.112193065	0.183724644	Not associated
4.1.1.7	-1.97408395	6.035466342	0.005704844	0.016433636	Not associated
4.1.1.73	-0.944285194	9.205091522	0.000655423	0.003162416	Not associated
4.1.1.74	1.997257025	3.49715009	0.065966973	0.11757438	Not associated
4.1.1.75	5.449028957	0.598476392	0.010041477	0.02568662	Not associated
4.1.1.77	-0.850796699	3.415621717	0.382324115	0.492133663	Not associated
4.1.1.8	-1.718397609	6.106129653	0.020418727	0.045823421	Not associated
4.1.1.81	-4.10472424	4.694097843	0.000659471	0.003170623	root
4.1.1.82	-7.387626371	2.426166453	0.01890715	0.043075143	Not associated
4.1.1.86	-0.372639737	6.607520533	0.658799988	0.747792845	Not associated
4.1.1.9	-2.016293649	7.491295651	0.000297281	0.001758286	root
4.1.1.96	-2.085302617	7.949834373	0.003329438	0.011024682	Not associated
4.1.1.98	-1.626021053	9.405601895	7.56E-07	1.62E-05	root
4.1.2.13	-0.058024988	10.64030406	0.743073698	0.81816835	Not associated
4.1.2.14	-1.157615299	8.404547713	0.004301465	0.013452035	Not associated
4.1.2.17	-0.426564292	6.508907415	0.507915893	0.613279105	Not associated
4.1.2.19	1.388944604	8.569627495	0.010680649	0.027123604	Not associated
4.1.2.20	-1.2866608	6.230476148	0.06252363	0.11217719	Not associated
4.1.2.21	-2.255660063	7.518873243	2.44E-05	0.000255268	root
4.1.2.22	0.675932941	7.606112545	0.115605925	0.187477301	Not associated
4.1.2.25	-0.208722099	7.981246326	0.62389346	0.719795102	Not associated
4.1.2.27	2.205780481	5.898708865	0.005378399	0.015796123	Not associated
4.1.2.4	1.505765291	9.498416746	3.76E-06	5.58E-05	soil
4.1.2.40	0.296089746	5.227954349	0.675234898	0.762744438	Not associated
4.1.2.43	3.198523962	3.907923397	0.00338208	0.011171615	Not associated
4.1.2.5	-0.010839453	9.650724935	0.9700813	0.989863925	Not associated
4.1.2.50	-1.66724171	6.854818954	0.004181584	0.013292519	Not associated
4.1.2.52	-0.724045497	8.141386386	0.082796709	0.142525112	Not associated
4.1.2.8	3.110875947	0.518848684	0.070582519	0.124812805	Not associated
4.1.2.9	0.67593119	7.606112545	0.116216981	0.187983112	Not associated
4.1.3.-	-0.285273319	9.5168652	0.231675044	0.325400688	Not associated
4.1.3.1	-0.387095673	10.26226366	0.040460743	0.079220962	Not associated
4.1.3.24	0.499071386	3.263264824	0.620383299	0.717690615	Not associated
4.1.3.25	0.49908748	3.263264824	0.620475676	0.717690615	Not associated
4.1.3.27	-0.46220553	10.78403544	0.004385764	0.013472638	Not associated
4.1.3.3	-1.202855396	5.378509379	0.116374674	0.187983112	Not associated
4.1.3.30	0.039147476	8.422290021	0.90178784	0.937887122	Not associated
4.1.3.34	0.699229694	9.866572701	0.000701415	0.003313328	Not associated
4.1.3.36	2.284789805	8.807212125	8.67E-06	0.000109504	soil
4.1.3.38	-0.888954705	8.228822317	0.033986283	0.068942144	Not associated
4.1.3.39	0.899114854	6.287696947	0.140361317	0.217214363	Not associated
4.1.3.4	-0.163199641	9.437209119	0.535952848	0.642477638	Not associated
4.1.3.40	-1.952906809	5.40262434	0.098778371	0.164288892	Not associated
4.1.3.42	-1.157615219	8.404547713	0.00429341	0.013452035	Not associated
4.1.99.1	0.680141099	6.81557975	0.35339105	0.459068565	Not associated
4.1.99.12	0.373445857	10.55988162	0.024121209	0.052057114	Not associated
4.1.99.17	-0.318394077	10.80188256	0.054942367	0.10168101	Not associated
4.1.99.19	-1.256810674	2.301078379	0.377829281	0.48706809	Not associated
4.1.99.2	4.157696165	0.066770764	0.11646326	0.187983112	Not associated
4.2.1.-	-0.544638734	8.008804129	0.188015166	0.276096184	Not associated
4.2.1.1	-0.702940944	9.829111895	0.000843266	0.003848827	Not associated
4.2.1.10	-0.292438149	8.633700805	0.408708618	0.518465111	Not associated
4.2.1.104	-2.234906335	5.59234823	0.009209962	0.02392819	Not associated
4.2.1.107	-5.923949237	1.287624087	0.009582905	0.024801732	Not associated
4.2.1.108	-0.764534402	5.755038813	0.335116579	0.439063349	Not associated
4.2.1.109	-1.584307875	5.890967837	0.028662144	0.060170758	Not associated
